"ID","WOWID","LATITUDE","LONGITUDE","ALTITUDE"
"GARMON113","5b6df07f-6aca-ea11-bf21-0003ff59a78c","50.8770","4.698","20"
"GARMON114","f4015d94-6bca-ea11-bf21-0003ff59b17b","50.8761","4.703","37"
"GARMON115","e50e188a-6cca-ea11-bf22-0003ff59a5e1","50.8791","4.686","27"
"GARMON116","b07f2a1b-6dca-ea11-bf21-0003ff59a78c","50.8844","4.689","39"
"GARMON117","758359b0-6dca-ea11-bf21-0003ff59b17b","50.8774","4.700","26"
"GARMON118","d6c6f276-6eca-ea11-bf21-0003ff59a78c","50.8747","4.699","38"
"GARMON119","49f67b47-6fca-ea11-bf21-0003ff59a78c","50.8675","4.685","23"
"GARMON120","def889fd-67ca-ea11-bf22-0003ff59a5e1","50.8643","4.676","21"
"GARMON121","7d545f11-70ca-ea11-bf21-0003ff59b17b","50.8634","4.680","21"
"GARMON122","0f78adcc-70ca-ea11-bf21-0003ff59a78c","50.8623","4.681","21"
"GARMON123","9ff74591-71ca-ea11-bf22-0003ff59a5e1","50.8635","4.682","21"
"GARMON124","a6c4eb76-72ca-ea11-bf22-0003ff59a5e1","50.8627","4.687","26"
"GARMON125","ff199418-73ca-ea11-bf22-0003ff59a5e1","50.8803","4.673","65"
"GARMON126","ffc862b3-73ca-ea11-bf21-0003ff59b17b","50.8801","4.716","31"
"GARMON127","987b0a69-e5cd-eb11-ba5e-0003ff5986e4","50.8740","4.715","38"
"GARMON128","d2743317-e7cd-eb11-ba5e-0003ff5986e4","50.8840","4.768","53"
"GARMON129","a98daae5-a9d2-ec11-bea1-0003ff597c9e","50.8673","4.725","38"
"GARMON130","fbd7527d-b3d2-ec11-bea1-0003ff59a33f","50.8668","4.729","38"
"GARMON131","3aae0d1e-b4d2-ec11-bea1-0003ff597300","50.8665","4.730","38"
"GARMON132","4c5b95ae-b4d2-ec11-bea1-0003ff597300","50.8654","4.727","38"
"GARMON133","3c97da6e-b5d2-ec11-bea1-0003ff597c9e","50.8664","4.727","38"
"GARMON134","cc28d65a-b6d2-ec11-bea1-0003ff597c9e","50.9265","4.725","12"
"GARMON135","762ad4f7-b6d2-ec11-bea1-0003ff59a33f","50.8744","4.760","92"
"GARMON136","30cb4aa0-b7d2-ec11-bea1-0003ff597c9e","50.8806","4.753","44"
"GARMON137","27458a2c-b8d2-ec11-bea1-0003ff59a33f","50.8536","4.694","42"
"GARMON138","939e3410-79fc-ec11-b5cf-0003ff5962a8","50.8733","4.697","22"
"GARMON139","6c42d06b-fef2-ed11-913a-201642ba364e","50.9021","4.678","30"
"GARMON140","f75ff454-fff2-ed11-913a-0003ff7a6da1","50.8556","4.677","32"
"GARMON141","7af2161e-db68-ee11-a81c-000d3a66232c","50.9265","4.697","17"
"GARMON142","e091ed13-dc68-ee11-a81c-000d3a66232c","50.8784","4.695","15"
"GARMON143","39ea9350-55fe-ef11-a81b-000d3adc591b","50.8720","4.710","35"
"GARMON144","6b20bbc2-dd68-ee11-a81c-000d3a67eec3","50.8693","4.701","26"
"GARMON145","ec38f006-8a5f-ee11-a81c-002248a16312","50.8703","4.702","32"
"GARMON146","2d7abf59-9efd-ef11-a81c-002248a00589","50.8643","4.676","21"
"GARMON147","cf1251c4-a0fd-ef11-a81c-002248a00589","50.8592","4.764","35"
"GARMON148","4b3b0bf4-aefd-ef11-a81b-000d3adc591b","50.8924","4.692","49"
"GARMON149","6391dcd1-affd-ef11-a81c-002248a00589","50.8810","4.726","32"
"GARMOND01","2befee7b-e11e-ec11-b76a-0003ff59a5df","50.8211","4.511","71"
"GARMOND02","3cde0f88-871f-ec11-b76a-0003ff597a5e","50.8251","4.514","84"
"GARMOND03","b6f815a7-881f-ec11-b76a-0003ff597a5e","50.8196","4.526","78"
"GARMOND04","526da8ac-891f-ec11-b76a-0003ff59a5df","50.8331","4.528","73"
"GARMOND05","e83182b8-8b1f-ec11-b76a-0003ff59a5df","50.8189","4.504","81"
"GARMOND06","8390f042-8c1f-ec11-b76a-0003ff597a5e","50.8168","4.553","99"
"GARMOND07","93832d1c-8d1f-ec11-b76a-0003ff59a5df","50.8360","4.561","60"
"GARMOND08","86295c14-8e1f-ec11-b76a-0003ff59a5df","50.8586","4.538","78"
"GARMONE05","23cb50b2-6aa2-ea11-8b71-0003ff59b0d7","50.9993","4.663","12"
"GARMONE06","309edda1-716f-eb11-8ced-0003ff5982ed","50.8127","4.622","33"
"GARMONE07","1fae2dcc-fab2-eb11-89ee-0003ff5990ac","50.7663","4.951","89"
"GARMONR01","a2c7a1d8-63af-e811-a8ec-0003ff59b2da","50.7976","4.357","100"
"GARMONR02","34e9243f-12cf-e911-b3ba-0003ff59b0d7","50.7976","4.357","100"
"GARMONR03","c93dc98f-9200-ea11-b862-0003ff599e2a","50.9155","5.450","39"
"GARMONR04","41efdc7c-9300-ea11-b862-0003ff599e2a","50.9155","5.450","39"
"GARMONR05","07daec74-cbe2-ea11-bf21-0003ff59a78c","50.1936","5.255","295"
"GARMONT01",,"50.8898","4.722","20"
"GARMONT03",,"50.8898","4.722","20"
"GARMONT04",,"50.8898","4.722","20"
